post_id,source,source_type,source_name,text,timestamp,engagement_metric,lang,migration_flag
0ac18376-3103-47d5-9b8d-b89f4ad96904,telegram,primary_dataset,telegram_playstore,Lebih privacy,2021-06-25T10:16:27Z,0,en,1
0df74791-713a-4622-b919-6eaa49d18d28,telegram,primary_dataset,telegram_playstore,Apk nya super keren tapi tambahain status nya di tele kayak di whatsapp,2021-06-24T13:27:12Z,0,en,1
aa520799-47bb-409a-93ed-d5831048ee10,telegram,primary_dataset,telegram_playstore,Plisss sii tambahin figur ekspor chat..kaya di whatsapp gtu laa...gua minta telegram ini aja sii tambahinn bisa ekspor chat buat yg chat pribadi klo bisaa hehe,2021-06-24T01:33:29Z,0,en,1
0a02a928-c33a-405a-acbd-2c7bf3eb0868,telegram,primary_dataset,telegram_playstore,Sebenarnya ini apk bagus Bagus banget Apalagi yang main rp Tapi masih ada beberapa kekurangan dari apk nya ini Kalo misalnya orang mau hapus akun Klo login disarankan bisa make akun email atau Facebook Supaya kalau udah gk bisa login lagi make nomor kita Masih bisa login dengan akun gmail dan Facebook Lalu mohon telegram tambahkan fitur story Supaya makin bagus Oke begitulah saran saya Apk ini bagus kok cuman butuh di update lagi aj,2021-06-23T07:07:02Z,5,en,1
4e9c0228-99ec-4cd4-b58d-accc21a19d92,telegram,primary_dataset,telegram_playstore,Pake whatsapp aja,2021-06-19T13:27:20Z,0,en,1
77834106-5abe-46f3-aecc-173b95f3e06b,telegram,primary_dataset,telegram_playstore,Emm kalo boleh kasih saran tambahin fitur status kaya di WhatsApp dong plissss,2021-06-19T12:29:21Z,0,en,1
d963a591-d223-4153-99e5-7061913ba4d2,telegram,primary_dataset,telegram_playstore,Aplikasi ini kaya WhatsApp tapi seruuu kalian harus maen,2021-06-18T22:36:41Z,0,en,1
f956f6ab-e5a5-464b-9aab-884b168b8adb,telegram,primary_dataset,telegram_playstore,"Kenapa skrng ga bisa download video pake wifi ya, harus pake data, padahal klo download di youtube bisa pake wifi",2021-06-18T13:44:12Z,0,en,1
13e3d2dc-5ed3-4743-b564-ba81a64dded1,telegram,primary_dataset,telegram_playstore,Aplikasi nya sngat bagus dan bnyak membantu. Tapi kenapa udh akhir-akhir ini tidak bisa mendownload memakai wifi ya tapi memakai data seluler bisa. Dan sudah menghapus smuanya ttp jg tidak bisa sudah di uninstall jg tidak bsa. Mnta tlng bantuannya ya,2021-06-18T11:29:48Z,181,en,1
05bfff34-07e1-4cf5-a694-447ed9731d71,telegram,primary_dataset,telegram_playstore,Better,2021-06-17T18:27:17Z,0,en,1
bed72b5e-1e57-436a-a83a-a34c75385a3a,telegram,primary_dataset,telegram_playstore,Aplikasi nya bagus kok tapi tolong dong pas di download kok ada tulisan tertunda mulu saya pikir data saya yang eror padahal enggak tolong di perbaiki lagi,2021-06-17T14:57:46Z,1,en,1
6b24beb9-88c5-48de-b124-4d14770d6887,telegram,primary_dataset,telegram_playstore,Tolong yah itu tiba2 ada yg menchat saya meminta untuk mengirimkan kode verifikasi katanya supaya data saya tidak hilang. dan dia berkata dia dari customer service telegram a/n CHANDRA WINATA. Apakah benar ada nama tersebut ?,2021-06-15T21:11:31Z,0,en,1
6902bca4-a168-4443-95f5-291aab7099e7,telegram,primary_dataset,telegram_playstore,WhatsApp + Telegram=WhatsApp telepot,2021-06-15T13:14:26Z,0,en,1
b9a8311c-f80c-431a-824d-bd9fcf5998cb,telegram,primary_dataset,telegram_playstore,Aplikasi ini bisa tonton film biskop yang Baru keluar film 2021 biskop. Ada bisa tonton anime lekap di apikasillekap tapi Sayangnya banyak makan data internet kita,2021-06-14T22:53:50Z,0,en,1
222c6b35-2f6f-44c3-9461-a5f18876ddaf,telegram,primary_dataset,telegram_playstore,"Apk nya bagus, gatau kenapa lebih nyaman sama tele daripada WhatsApp",2021-06-13T18:30:02Z,0,en,1
e4bbca4f-11ff-4592-b6a9-e53c3e3c9112,telegram,primary_dataset,telegram_playstore,"Bagus, ada Bot, privasi terjaga, dan banyak cahnnel bermanfaat, bisa streaming movie juga. Apa itu Whatsapp ?? Ayo semua warga +62 pindah ke Telegram !!",2021-06-13T09:06:23Z,4,en,1
55e1d163-1d15-4642-94f1-3e3556bf9abb,telegram,primary_dataset,telegram_playstore,"Connecting... Sering sekali seperti ini, padahal signal tdk ada masalah",2021-06-11T14:07:13Z,0,en,1
8b697cf1-9e83-4d5b-a9c8-1c6fe34495de,telegram,primary_dataset,telegram_playstore,"FITURNYA KECE & LENGKAP LENGKAP BGTT, TAPI SYG EGK ADA FITUR BUAT TARO STATUS GITUU KEK DI WHATSAPP YAH KLO ADA ITU BAKAL LENGKAP BGT SII TAPI YAUDAH LAH GINI AJA UDAH ENAK HSHHS",2021-06-10T17:34:50Z,0,en,1
38b83fac-7576-49b9-b057-189ae78c3f76,telegram,primary_dataset,telegram_playstore,Saya pengguna aplikasi telegram ini sudah lama..tolong untuk pihak developer untuk memperbarui aplikasi ini dengan menambahkan fitur buat status seperti aplikasi WhatsApp dan Facebook,2021-06-09T18:31:16Z,0,en,1
d7425dc6-413e-4720-89de-bcc1eeffc614,telegram,primary_dataset,telegram_playstore,"Kenapa aplikasi nya eror,status menghubungkan trs padahal wifi normal,penyimpanam data juga msh banyak Bisa di bantu solusi nya",2021-06-09T16:54:33Z,0,en,1
b949ed63-f3e4-456c-8c90-8be6ecb3929a,telegram,primary_dataset,telegram_playstore,Kenapa ya dari kmrin2 telegram saya ga bisa download video gtu loading aja pdhal sinyal wifi bagus tapi tdi nyoba pke data seluler download nya bisa tapi kan sayang bgt klo pke data seluler kan klo pke wifi mh enak tolong dong ini knpa yaa,2021-06-09T12:56:07Z,0,en,1
3e2291c9-9221-4e78-b1a3-05abc4850e09,telegram,primary_dataset,telegram_playstore,Pertama Kali Saya Download Aplikasi Tele Ini. Saya Lebih Suka Aplikasi Telegram Di Banding Aplikasi Whatsapp,2021-06-08T21:07:17Z,0,en,1
92833d5d-cd2d-4d2c-acf0-2f042ce38609,telegram,primary_dataset,telegram_playstore,Antonyauw Facebook,2021-06-08T20:45:36Z,0,en,1
e79e359a-e7a0-403f-b5bc-3763bb54a0e3,telegram,primary_dataset,telegram_playstore,better,2021-06-08T15:56:13Z,0,en,1
db9623a3-7855-4bb1-8899-b54d6ab6374d,telegram,primary_dataset,telegram_playstore,"Apakah tele sedang rusak? Tadi ada yang chat wa saya dia bilang ""Hallo ka selamat malam Mohon maaf mengganggu waktunya sebentar, perkenalkan saya CHANDRA WINATA cs langsung dari telegram. Sekedar pemberitahuan saja untuk alasan keamanan dalam 30 menit ke depan aplikasi telegram nya jangan dulu dibuka karena sedang dalam masa perbaikan sistem. Guna mencegah penghapusan data akun telegram di ponsel kakak, kami akan mengirimkan sms kode perbaikan dari telegram langsung ke nomor ponsel kakak yang se",2021-06-07T19:10:30Z,149,en,1
db9952f3-51cb-490e-b6a5-1378288a20bf,telegram,primary_dataset,telegram_playstore,"Saya sangat menyukai aplikasi ini karena mudah digunakan, dan semua fitur yang ada di telegram sangat berguna bagi saya. Hanya saja tidak terdapat fitur pembuat story, dan pencadangan data ke email.",2021-06-06T06:32:06Z,3,en,1
6c9f0a3f-0780-4e2c-875c-ff3bf893f3bf,telegram,primary_dataset,telegram_playstore,"Kurang snap status aja, kalau d tambahkan fitur status seperti whatsapp dan aplikasi lainnya bisa jadi aplikasi komunikasi yang paling baik untuk skrg",2021-06-03T19:51:28Z,0,en,1
0a53f10e-8fe9-4461-8195-ae84bc4e6f53,telegram,primary_dataset,telegram_playstore,Memudahkan pengguna dan memiliki ruang penyimpanan data,2021-06-03T15:13:52Z,0,en,1
2c683786-195d-4631-bf8a-65e7be8d2a21,telegram,primary_dataset,telegram_playstore,"this application is very good but even better if there is a status feature like in wa, I'm sure everyone is moving to WhatsApp, let's create a status feature I will immediately move to tele",2021-06-01T23:05:22Z,0,en,1
a966069e-f2f8-4633-ba5e-0334cda2f576,telegram,primary_dataset,telegram_playstore,hy my friends aime not ready telegram no signal,2021-06-01T15:33:05Z,0,en,1
d3e11729-973b-4d52-96a0-f4656cafcfdd,telegram,primary_dataset,telegram_playstore,Telegram ini sama kayak WhatsApp trs aku jadi suka deh,2021-06-01T09:51:35Z,0,en,1
52e24ce1-0c73-417d-8246-0ae29e48712c,telegram,primary_dataset,telegram_playstore,"Kadang notif ga muncul kalau aplikasinya ga dibuka. Kurang stabil aplikasinya nih, ayo saingi Whatsapp!!!",2021-06-01T05:26:44Z,0,en,1
67f0641a-74e9-4e85-87e9-351450c66e72,telegram,primary_dataset,telegram_playstore,"Bagus banget apknya:) tapi Mau tanyak dong, kenapa saya selalu dapat Pesan yang berisikan code, dan di situ kadang dari wa mau pun telfon seluler saya selalu dipinta code yg udaj di kirim kan, dan mereka dari sana minta alasan nya pembaruan data, dan saya tidak berani kasih karna saya takut akun telegram saya di hack. Tolong dong tanggapan nya itu emang udah seharusnya atau gimana?? Tmksh.",2021-05-31T13:37:23Z,9,en,1
5c6dc834-7cae-42c9-b63f-45f22058bd06,telegram,primary_dataset,telegram_playstore,Aplikasi sangat membantu.. Bahkan menurut saya jauh lebih bagus drpd whatsapp. Tdk memakan memory buat hp2 yg memorinya kurang.. Bisa nonton2 film.. Mmbuat group orgnya bisa jauh lebih banyak.. Mengirim pesan bs di edit kalo salah... Pokoknya mantab lah...,2021-05-31T08:55:44Z,158,en,1
533695a1-16f0-4527-ab5a-a03a7c52eb59,telegram,primary_dataset,telegram_playstore,saran : coba di kasi fitur story di telegram dan penggunanya akan menyaingi whatsapp,2021-05-30T16:16:37Z,0,en,1
71c085bb-c9ce-4461-8cb0-8f6e81617251,telegram,primary_dataset,telegram_playstore,Saya harap telegram menjadi aplikasi komunikasi terpopuler di masa yang akan datang dan saya sangat sangat mengharapkan telegram jangan sampai di beli sahamnya. Wish you all the best 5 star from me.,2021-05-29T22:58:08Z,0,en,1
c78e2bbe-e852-430d-8cc4-b66885903023,telegram,primary_dataset,telegram_playstore,Nice messaging app i just wish everyone use it.also the video call is much worse than whatsapp the good thing is i dont care much about video call i just used it when people want video call but it just some thing that is nice to have,2021-05-29T21:14:58Z,0,en,1
9c1fc1a2-3367-41a0-8ad4-8a10fc222ec7,telegram,primary_dataset,telegram_playstore,"Lemot bnget, udah pake wifi n data, biasanya juga egk",2021-05-29T16:49:13Z,0,en,1
a3925d8a-8404-403d-8ca3-24eb4b5397e8,telegram,primary_dataset,telegram_playstore,"kak tolong tambahin fitur status dong biar sama kayak whatsapp, terus biar tambah asik lagi kan nanti tambah seru anjir astagfirullah",2021-05-29T15:03:24Z,0,en,1
